station,longitude,latitude,depth
127,202.308,30.0,5782.752485351553
128,202.884,30.0,5905.769135742188
129,203.46,30.0,5879.732080078125
130,204.037,30.0,5965.940000000035
131,204.613,30.0,5942.0062158203145
132,205.189,30.0,5681.309999999989
133,205.765,30.0,5624.4196289060765
134,206.342,30.0,5405.935258789034
135,206.918,30.0,5362.258818359379
136,207.494,30.0,5406.219267578126
137,208.07,30.0,5452.343212890625
138,208.647,30.0,5344.940766601666
139,209.223,30.0,5748.047509765517
140,209.799,30.0,6116.8189062499705
141,210.376,30.0,5615.867973632789
142,210.952,30.0,5898.439755859345
143,211.528,30.0,4275.474287109435
144,212.104,30.0,5139.457534179748
145,212.681,30.0,4887.8753173828
146,213.257,30.0,5087.398056640633
147,213.833,30.0,4965.91015625
148,214.409,30.0,5075.644321289057
149,214.986,30.0,5213.7969824218735
150,215.562,30.0,5231.488837890584
151,216.138,30.0,5206.472934570312
152,216.714,30.0,5081.708925781283
153,217.291,30.0,5036.5801708984345
154,217.867,30.0,4889.484365234461
155,218.443,30.0,4776.853364257999
156,219.02,30.0,4945.783178710937
157,219.596,30.0,4527.925869140694
158,220.172,30.0,4501.101645507531
159,220.748,30.0,4888.325590820315
160,221.325,30.0,4776.268310546884
161,221.901,30.0,4653.689794921874
162,222.477,30.0,4541.809902343844
163,223.053,30.0,3688.751279296758
164,223.63,30.0,4466.665747070312
165,224.206,30.0,4692.241030273577
166,224.782,30.0,4870.182294921842
167,225.359,30.0,4757.841489257937
168,225.935,30.0,4614.791235351562
169,226.511,30.0,4590.104609375003
170,227.087,30.0,4632.280000000078
171,227.664,30.0,4641.688754882755
172,228.24,30.0,4673.1
173,228.816,30.0,5252.743828125
174,229.392,30.0,4484.767333984517
175,229.969,30.0,4635.602573242161
176,230.545,30.0,4672.8621826171875
177,231.121,30.0,4617.924501953046
178,231.697,30.0,4608.748437500018
179,232.274,30.0,4491.872094726551
180,232.85,30.0,4506.747314453125
181,233.426,30.0,4260.5632421875025
